pm,keyword,score
Rajiv Gandhi,caste region linguistic,0.5127
Rajiv Gandhi,1986 relate proposals,0.5061
Rajiv Gandhi,steps sri lankan,0.4971
Rajiv Gandhi,world environment atmosphere,0.491
Rajiv Gandhi,problems remain clandestine,0.4775
Rajiv Gandhi,outside stage mockery,0.4348
Rajiv Gandhi,end reopen issue,0.4043
Rajiv Gandhi,nation building moral,0.7657
Rajiv Gandhi,secularism unity democracy,0.6591
Rajiv Gandhi,violence coming negotiating,0.647
Rajiv Gandhi,based freedom struggle,0.6422
Rajiv Gandhi,panditji said small,0.5866
Rajiv Gandhi,losing religion turn,0.5852
Rajiv Gandhi,castes need hour,0.5695
Rajiv Gandhi,self confident afraid,0.5622
Rajiv Gandhi,order based freedom,0.5575
Rajiv Gandhi,fertilization ideas comes,0.5374
Rajiv Gandhi,table ancient civilizations,0.5227
Rajiv Gandhi,tolerance absorption,0.5132
Rajiv Gandhi,falls spirit,0.511
Rajiv Gandhi,view solutions problems,0.477
Rajiv Gandhi,cause great,0.473
Rajiv Gandhi,talks afternoon took,0.6498
Rajiv Gandhi,chintamani panigrahi position,0.5884
Rajiv Gandhi,campaigning preferred kept,0.5303
